Company_Name,incorporation_date,Period,income ($M),num_employee,country_code,web_globalrank,has_domain,has_instargram,has_facebook,Status,
BEHEYT,1968,54,,,056,,no,no,no,inactive,
BIK BIJOUX IMPENS B.V.B.A.,,,,,056,,no,no,no,inactive,num_employee
BOSCHMANS N.V.,1865,157,,,056,,no,no,no,inactive,0
"E. VAN RANST, ZONEN B.V.B.A.",1968,54,,,056,,yes,no,no,active,1000-4999
WOUTERS & HENDRIX N.V.,,,,,056,,no,no,no,inactive,250-499
CECY JOIAS,2018,4,,,076,,no,no,no,inactive,0-9
CRACCO INDUSTRIA E COMERCIO DE JOIAS LTDA,2000,22,,,076,,yes,no,yes,active,10-19
DE LAMOUR JOIAS LTDA,1997,25,,,076,,yes,no,yes,active,100-249
INDUSTRIA DE JOIAS DUQUE LTD.,,,,,076,,no,no,no,inactive,20-49
JOIAS CONDOR - ARTEFATOS DE METAIS CONDOR LTDA,1985,37,,,076,,yes,no,yes,active,5000-9999
JOIAS VIVARA LTD.,1998,24,76 - 100,1000-4999,076,"7,829",yes,no,yes,active,50-99
LODI PEDRAS PRECIOSAS LTDA,2018,4,,,076,,yes,no,yes,active,500-999
MAEVE METAIS,,,,,076,,yes,no,yes,active,
MOMTE CARLO JOIAS,,,,,076,,no,no,no,inactive,
QUARTZIAM IMP. EXP. LTDA,,,,,076,,no,no,no,inactive,
"R VIANNA COMERCIO, IMPORTACAO E EXPORTACAO LTD.",,,,,076,,no,no,no,inactive,
SIMON JOALHEIROS COMERCIO DE IMPORTACAO E EXPORTACAO LTD.,,,,,076,,no,no,no,inactive,
SMS COMERCIO E INDUSTRIA LTDA-ME,1983,39,,,076,,no,no,no,inactive,
ABRA-KAD-ABRA COLLECTION,1994,28,,,124,,no,no,no,inactive,
ANTHONY OF CALGARY JEWELLERS LTD.,1982,40,,,124,,no,no,yes,active,
BALTIC AMBER LTD.,,,,,124,,no,no,no,inactive,
BAMIYAN SILVER LIMITED,,,,,124,"4,003,640",yes,no,no,active,
BIRKS & MAYORS INC,1998,24,76 - 100,250-499,124,"203,431",yes,no,yes,active,
CORONA JEWELLERY COMPANY,2006,16,,,124,"5,318,535",no,no,no,inactive,
DIRECTIONS EAST,2015,7,,,124,"11,264,060",no,no,no,inactive,
ENCHANTED DESIGNS LIMITED,,,,,124,,no,no,no,inactive,
